country,eu,continent,renewable.total,all.sources,renewable,main.renewable,hydro,wind,biomass,solar,geothermal
India,n,asia,16.88%,"1,550,564",261790,hydro,143743,62036,16325,39268,
Indonesia,n,asia,15.90%,"248,613",39509.1,hydro,19409.8,5.7,9364.2,73.4,10656
Iran,n,asia,5.80%,"289,094",16710.1,hydro,16419,264.3,21.8,5,
Iraq,n,asia,6.40%,"80,030",5144.7,hydro,5087.3,,,57.3,
Ireland,y,europe,24.70%,"30,418",7515,wind,973,6149,681,4,
Israel,n,asia,2.50%,"66,976",1656.3,solar,23.1,64.4,170.7,1398.1,
Italy,y,europe,37.30%,"289,768",108035.7,hydro,44257,17689,19509,22116.5,6289
Jamaica,n,namerica,8.20%,"4,230",345.2,hydro,118.7,190,23.5,13,
Japan,n,asia,15.00%,"1,057,976",158822,hydro,85083,9612,16847,50952,2509
Jordan,n,asia,4.90%,"19,731",959,solar,41.6,390.7,6.5,520.2,0
Kazakhstan,n,asia,11.30%,"106,627",12013.2,hydro,11620.8,262,43.6,86.8,0
Kenya,n,africa,90.70%,"9,752",8843.3,hydro,3797.5,57.1,193.9,37.2,4757.5
Kiribati,n,oceania,0,0,4.8,solar,0,0,0,4.8,0
Korea DPR,n,asia,75.70%,"16,926",12814.9,hydro,12800,1.1,,13.9,0
Korea Rep,n,asia,2.80%,"562,603",15930,hydro,6634,1683,5781,5123,0
Kosovo,n,europe,4.30%,"5,981",257,hydro,245,3.3,0,8.7,0
Kuwait,n,asia,0.10%,"70,094",66.3,solar,0,17.5,0,48.8,0
Kyrgyzstan,n,asia,86.70%,"13,262",11497.8,hydro,11497.8,0,0,0,0
Laos,n,asia,53.10%,"33,822",17952.4,hydro,17945.6,0,4.4,2.3,0
Latvia,y,europe,54.20%,"6,425",3481.6,hydro,2530,128,823,0.6,0
Lebanon,n,asia,2.80%,"18,690",523.6,hydro,480,6,10,27.6,0
Lesotho,n,africa,0,0,508.5,hydro,507.7,0,0,0.8,0
Liberia,n,africa,0,0,21,hydro,21,0,0,0,0
Libya,n,africa,0.00%,"36,430",7.8,solar,,0,0,7.8,0
Lithuania,y,europe,49.40%,"4,226",2088,wind,1044,1136,432,66,0
Luxembourg,y,europe,20.80%,"2,196",455.7,hydro,1528,101,139.7,100,0
North Macedonia,n,europe,36.70%,"5,629",2066,hydro,1897,109,36,24,0
Madagascar,n,africa,0,0,905.8,hydro,886.5,0.5,0.6,18.2,0
Malawi,n,africa,0,0,1471.8,hydro,1404,0,49.8,18,0
Malaysia,n,asia,13.70%,"156,660",21491.4,hydro,20342,0,917,232.4,0
Maldives,n,asia,0,0,11.6,solar,0,1.5,0,10.1,0
Mali,n,africa,0,0,1111.6,hydro,1102.4,0,0,9.2,0
Malta,n,europe,15.60%,856,133.4,solar,0,0.4,8,125,0
Marshall Islands,n,africa,0,0,2.2,solar,0,0,0,2.2,0
Martinique,n,africa,0,0,111.9,biomass,0,1.3,28.6,82,0
Mauritania,n,africa,0,0,343.8,hydro,182.9,104.3,0,56.6,0
Mauritius,n,africa,21.80%,"3,042",663.5,biomass,99.5,18,515.7,30.3,0
Mayotte,n,africa,0,0,14.8,solar,0,0,0,14.8,0
Mexico,n,namerica,15.30%,"320,353",48937,hydro,30698,10378,1461,252,6148
Micronesia,n,oceania,0,0,1.8,solar,0,0,0,1.8,0
Moldova,n,europe,5.30%,"5,827",308.7,hydro,290,2.5,14.2,1.9,0
Mongolia,n,asia,3.90%,"5,667",223.1,wind,61,153.6,,8.5,0
Montenegro,n,europe,58.80%,"3,141",1847.1,hydro,1843,,,4.1,0
Morocco,n,africa,14.80%,"32,141",4757,wind,1662.2,3015.2,12.6,473.4,0
Mozambique,n,africa,83.70%,"18,732",15682.6,hydro,15610.6,0,55.2,16.8,0
Myanmar,n,asia,52.80%,"17,867",9436.5,hydro,9400,0,0,36.5,0
Namibia,n,africa,99.30%,"1,421",1410.9,hydro,1359,0.1,0.2,51.6,0
Nauru,n,africa,0,0,0.2,solar,0,0,0,0.2,0
Nepal,n,asia,65.50%,"4,244",2777.7,hydro,2734.5,0.1,0,43,0
Netherlands,y,europe,12.10%,"115,170",13943,wind,100,8170,4113,1560,0
New Caledonia,n,oceania,0,,288.9,hydro,231.8,45.1,0.6,11.4,0
New Zealand,n,oceania,83.90%,"43,033",36118,hydro,25730,2303,608,52,7425
Nicaragua,n,asia,53.30%,"4,590",2444.8,biomass,426.7,729,533.2,26.8,729
Niger,n,africa,2.50%,526,13.1,solar,0,0,0,13.1,0
